,Z,D,FTAScore,NCAScore,NVCAFlag,DMF,Sex,White,SexWhite,Age,PendingChargeAtTimeOfOffense,NCorNonViolentMisdemeanorCharge,ViolentMisdemeanorCharge,ViolentFelonyCharge,NonViolentFelonyCharge,PriorMisdemeanorConviction,PriorFelonyConviction,PriorViolentConviction,PriorSentenceToIncarceration,PriorFTAInPastTwoYears,PriorFTAOlderThanTwoYears,Staff_ReleaseRecommendation,Y_NCA,Y_NVCA,Y_FTA,Hearing Date
78,0.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,64.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9
79,1.0,1.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,10
80,1.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,9
81,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,9
82,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,37.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10
83,0.0,0.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,36.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,6.0,1.0,1.0,0.0,10
84,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,11
85,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,11
86,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,30
87,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,95
88,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,33.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,10
89,1.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,10
90,1.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,44.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,30
91,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12
